,pH_perm,NaOH mg/kg w,pH_outlet
263,4.6,18.739860729110603,9.694846059709098
264,4.6,20.117165228122197,9.794846415455236
265,4.6,21.56055700114016,9.894846812338363
266,4.6,23.11291947594649,9.994847265659592
267,4.6,24.830476414870777,10.094847795079211
268,4.6,26.78429456636038,10.194848425395037
269,4.6,29.06274965242153,10.294849187624079
270,4.6,31.775160396942564,10.394850120461658
271,4.6,35.05677535625843,10.494851272195877
272,4.6,39.07533338102812,10.594852704555468
273,4.6,44.03950813974178,10.694854490642001
274,4.6,50.209660619089796,10.794856726408764
275,4.6,57.91150298094496,10.894859530956737
276,4.6,67.5534688067549,10.994863054141433
277,4.6,79.64886979529221,11.094867484792026
278,4.6,94.84429064384364,11.194873061213217
279,4.6,113.95618588768868,11.294880084656413
280,4.6,138.01833140463526,11.39488893667039
281,4.6,168.34368521247148,11.494900101532185
282,4.6,206.60535318237103,11.594914195328293
283,4.6,254.94275586804852,11.694932003718082
284,4.6,316.1007897016066,11.794954530986386
285,4.6,393.6118582229466,11.894983063719387
286,4.6,492.0332983323934,11.995019253381262
287,4.7,2.964221585348803,7.994842802379551
288,4.7,3.247188358586617,8.09484285465554
289,4.7,3.5902882595176235,8.194842918135132
290,4.7,4.003880194836461,8.294842994798216
291,4.7,4.498495953710797,8.394843086693097
292,4.7,5.084094383422602,8.494843195814518
293,4.7,5.769045892914545,8.594843323936617
294,4.7,6.558908875932055,8.694843472412542
295,4.7,7.455160012529898,8.794843641970283
296,4.7,8.454151359591178,8.894843832554205
297,4.7,9.546644140868583,8.994844043275599
298,4.7,10.718253701656701,9.094844272533146
299,4.7,11.950990747967554,9.194844518338241
300,4.7,13.225816764841262,9.294844778833093
301,4.7,14.525837891413573,9.394845052938827
302,4.7,15.839574360088326,9.494845341038408
303,4.7,17.163758994246695,9.594845645602776
304,4.7,18.50533479401177,9.694845971709345
305,4.7,19.882636566662217,9.794846327458062
306,4.7,21.32602175116946,9.894846724342354
307,4.7,22.878372317249053,9.994847177663033
308,4.7,24.59591048397647,10.0948477070801
309,4.7,26.54970125924202,10.19484833739088
310,4.7,28.82811829894863,10.294849099612085
311,4.7,31.540477798636903,10.394850032438383
312,4.7,34.82202518514891,10.494851184157335
313,4.7,38.8404954340632,10.594852616496608
314,4.7,43.80455743135228,10.694854402557036
315,4.7,49.974566300960795,10.794856638290534
316,4.7,57.67622708196275,10.894859442796609
317,4.7,67.31796480208125,10.994862965929046
318,4.7,79.41308106673374,11.094867396515054
319,4.7,94.6081489336136,11.194872972857187
320,4.7,113.71960993448047,11.294879996204605
321,4.7,137.78122601977284,11.394888848103909
322,4.7,168.10594110250034,11.494900012830243
323,4.7,206.36684780690305,11.59491410646875
324,4.7,254.70335550302326,11.694931914678223
325,4.7,315.860352654256,11.794954441743881
326,4.7,393.37023886829917,11.894982974253223
327,4.7,491.7903514379516,11.995019163672506
328,4.8,2.775941436861318,7.994842731654458
329,4.8,3.058901329648296,8.094842783930337
330,4.8,3.4019931469856415,8.194842847409847
331,4.8,3.8155757412865983,8.2948429240729
332,4.8,4.3101809252360335,8.394843015967842
333,4.8,4.8957676811089135,8.494843125089485
334,4.8,5.580706694228302,8.59484325321203
335,4.8,6.370556793727555,8.69484340168872
336,4.8,7.266795243541672,8.794843571247629
337,4.8,8.265774784257745,8.894843761833219
338,4.8,9.358257329655814,8.99484397255683
339,4.8,10.529858797827055,9.094844201817196
340,4.8,11.762590220471852,9.194844447625618
341,4.8,13.037413064583891,9.29484470812416
342,4.8,14.337433072632669,9.39484498223383
343,4.8,15.651169740315513,9.494845270337253
344,4.8,16.975354909472436,9.594845574905177
345,4.8,18.316930461845086,9.694845901014686
346,4.8,19.694230044482868,9.794846256765485
347,4.8,21.137609935133256,9.894846653650712
348,4.8,22.689950932625194,9.994847106970953
349,4.8,24.407474014880155,10.094847636385898
350,4.8,26.361242791829408,10.194848266692714
351,4.8,28.63962925846471,10.294849028907585
352,4.8,31.35194757946362,10.39484996172487
